detected_ring_id,claim_id,community_id,community_size,community_density,n_claim_members
DRING-001,CLM-000001,19,261,0.0094,118
DRING-001,CLM-000021,19,261,0.0094,118
DRING-001,CLM-000132,19,261,0.0094,118
DRING-001,CLM-000171,19,261,0.0094,118
DRING-001,CLM-000179,19,261,0.0094,118
DRING-001,CLM-000195,19,261,0.0094,118
DRING-001,CLM-000257,19,261,0.0094,118
DRING-001,CLM-000267,19,261,0.0094,118
DRING-001,CLM-000279,19,261,0.0094,118
DRING-001,CLM-000322,19,261,0.0094,118
DRING-001,CLM-000355,19,261,0.0094,118
DRING-001,CLM-000373,19,261,0.0094,118
DRING-001,CLM-000387,19,261,0.0094,118
DRING-001,CLM-000673,19,261,0.0094,118
DRING-001,CLM-000697,19,261,0.0094,118
DRING-001,CLM-000739,19,261,0.0094,118
DRING-001,CLM-000767,19,261,0.0094,118
DRING-001,CLM-000804,19,261,0.0094,118
DRING-001,CLM-000881,19,261,0.0094,118
DRING-001,CLM-000961,19,261,0.0094,118
DRING-001,CLM-000970,19,261,0.0094,118
DRING-001,CLM-001114,19,261,0.0094,118
DRING-001,CLM-001297,19,261,0.0094,118
DRING-001,CLM-001432,19,261,0.0094,118
DRING-001,CLM-001447,19,261,0.0094,118
DRING-001,CLM-001469,19,261,0.0094,118
DRING-001,CLM-001477,19,261,0.0094,118
DRING-001,CLM-001513,19,261,0.0094,118
DRING-001,CLM-001591,19,261,0.0094,118
DRING-001,CLM-001626,19,261,0.0094,118
DRING-001,CLM-001756,19,261,0.0094,118
DRING-001,CLM-001797,19,261,0.0094,118
DRING-001,CLM-001828,19,261,0.0094,118
DRING-001,CLM-001861,19,261,0.0094,118
DRING-001,CLM-001980,19,261,0.0094,118
DRING-001,CLM-002140,19,261,0.0094,118
DRING-001,CLM-002185,19,261,0.0094,118
DRING-001,CLM-002248,19,261,0.0094,118
DRING-001,CLM-002303,19,261,0.0094,118
DRING-001,CLM-002466,19,261,0.0094,118
DRING-001,CLM-002586,19,261,0.0094,118
DRING-001,CLM-002601,19,261,0.0094,118
DRING-001,CLM-002609,19,261,0.0094,118
DRING-001,CLM-002625,19,261,0.0094,118
DRING-001,CLM-002632,19,261,0.0094,118
DRING-001,CLM-002676,19,261,0.0094,118
DRING-001,CLM-002771,19,261,0.0094,118
DRING-001,CLM-002819,19,261,0.0094,118
DRING-001,CLM-002839,19,261,0.0094,118
DRING-001,CLM-002854,19,261,0.0094,118
DRING-001,CLM-002950,19,261,0.0094,118
DRING-001,CLM-002970,19,261,0.0094,118
DRING-001,CLM-003018,19,261,0.0094,118
DRING-001,CLM-003019,19,261,0.0094,118
DRING-001,CLM-003062,19,261,0.0094,118
DRING-001,CLM-003095,19,261,0.0094,118
DRING-001,CLM-003111,19,261,0.0094,118
DRING-001,CLM-003172,19,261,0.0094,118
DRING-001,CLM-003424,19,261,0.0094,118
DRING-001,CLM-003446,19,261,0.0094,118
DRING-001,CLM-003547,19,261,0.0094,118
DRING-001,CLM-003585,19,261,0.0094,118
DRING-001,CLM-003610,19,261,0.0094,118
DRING-001,CLM-003615,19,261,0.0094,118
DRING-001,CLM-003633,19,261,0.0094,118
DRING-001,CLM-003661,19,261,0.0094,118
DRING-001,CLM-003682,19,261,0.0094,118
DRING-001,CLM-003694,19,261,0.0094,118
DRING-001,CLM-003822,19,261,0.0094,118
DRING-001,CLM-003869,19,261,0.0094,118
