claim_id,policy_id,customer_id,device_id,repair_shop_id,claim_type,claim_amount,claim_date,description,status,filed_date,image_path,is_fraud,amount_vs_avg,claim_frequency,start_date,end_date,premium_amount,coverage_limit,policy_type,days_since_policy_start,coverage_utilization,device_type,purchase_date,purchase_price,device_age_days,amount_vs_device_price,claim_type_encoded,device_type_encoded,policy_type_encoded,has_repair_shop,node_degree,community_id,community_size,pagerank_score,n_shared_devices,n_shared_addresses,n_shared_shops,n_shared_payments,consistency_score,multimodal_inconsistency
CLM-000001,POL-001971,CUS-000144,DEV-001627,,accidental_damage,406.6,2023-05-28,"Device dropped on concrete floor, screen completely shattered",approved,2026-09-22 17:47:37.978946,,False,0.47068538398018167,3,2022-11-04,2023-11-04,269.79,3297.85,premium,205,0.12329244811013237,tablet,2023-08-07,733.42,0,0.554389026751384,0,4,2,0,2,19,261,4.36592536877524e-05,5,0,0,0,0.5,0
CLM-000002,POL-000406,CUS-001851,DEV-002452,,theft,333.71,2023-08-12,"Device stolen from car, filed police report #PR-36076",submitted,2026-09-22 17:47:37.980110,,False,0.7977712662049369,7,2024-03-20,2025-03-20,489.38,3045.3,extended,0,0.10958197878698321,laptop,2023-01-16,2300.78,208,0.14504211615191367,5,1,1,0,2,1,187,4.0645237100281535e-05,8,0,0,0,0.5,0
CLM-000003,POL-002288,CUS-002133,DEV-002993,REP-000350,mechanical_failure,205.59,2023-08-22,"Hinge mechanism broken, screen wobbly and disconnecting",under_review,2026-09-22 17:47:37.981324,,False,0.5963986487021053,11,2023-10-09,2026-10-08,306.07,2734.85,premium,0,0.07517414117776113,smartwatch,2022-05-14,171.34,465,1.1998949457219563,2,3,2,1,3,21,196,5.4942942143134494e-05,4,0,4,0,0.5,0
CLM-000004,POL-002568,CUS-001258,DEV-002023,,water_damage,677.55,2023-09-18,"Water leaked into bag during storm, device screen has water marks",submitted,2026-09-22 17:47:37.982519,,False,2.379010077129247,3,2022-07-02,2025-07-01,406.28,4403.3,premium,443,0.1538732314400563,smartphone,2023-02-12,726.77,218,0.9322756855676486,6,2,2,0,2,3,130,4.314261759866935e-05,5,0,0,0,0.5,0
CLM-000005,POL-003080,CUS-000032,DEV-000992,,water_damage,458.48,2024-07-29,"Device dropped in sink, charging port corroded",under_review,2026-09-22 17:47:37.983673,,False,2.0926878252137664,3,2022-02-09,2024-02-09,94.41,952.37,basic,901,0.4814095362096664,smartphone,2022-06-04,994.9,786,0.46083023419439145,6,2,0,0,2,4,171,4.916669577341324e-05,2,0,0,0,0.5,0
CLM-000006,POL-001165,CUS-002856,DEV-002096,REP-000626,water_damage,295.18,2023-10-01,"Device exposed to rain, screen flickering and touch issues",submitted,2026-09-22 17:47:37.984853,,False,1.4825963937115973,3,2022-10-25,2024-10-24,182.53,1691.83,standard,341,0.1744737946483985,smartphone,2024-01-08,986.54,0,0.2992073306708294,6,2,3,1,3,5,184,5.999909837588966e-05,5,0,4,0,0.5,0
CLM-000007,POL-003894,CUS-002615,DEV-002405,REP-000380,water_damage,247.52,2024-01-29,"Device fell into swimming pool, not turning on",submitted,2026-09-22 17:47:37.986044,,False,1.1190176948741828,5,2022-11-17,2025-11-16,614.19,6536.17,extended,438,0.03786927206605704,television,2024-04-16,1664.66,0,0.14869102399288744,6,5,1,1,3,6,344,5.4824812108218715e-05,8,0,11,0,0.5,0
CLM-000008,POL-004305,CUS-001400,DEV-000089,,screen_damage,225.04,2024-08-03,Screen separated from body at the top edge,denied,2026-09-22 17:47:37.987214,,False,0.8868781133741093,5,2022-03-30,2025-03-29,499.69,4346.49,extended,857,0.05177511049145402,appliance,2021-11-10,667.56,997,0.33710827491161843,3,0,1,0,2,7,228,5.634459311060195e-05,0,0,0,0,0.5,0
CLM-000009,POL-002568,CUS-001258,DEV-002023,,battery_issue,81.09,2023-11-08,"Device overheating during normal use, battery swelling visible",under_review,2026-09-22 17:47:37.988405,,False,0.2847227911658337,3,2022-07-02,2025-07-01,406.28,4403.3,premium,494,0.018415733654304725,smartphone,2023-02-12,726.77,269,0.11157587682485519,1,2,2,0,2,3,130,4.314261759866935e-05,5,0,0,0,0.5,0
CLM-000010,POL-001772,CUS-001990,DEV-001373,,water_damage,729.41,2023-06-18,"Coffee spill on device, keyboard and trackpad not working",denied,2026-09-22 17:47:37.989605,,False,0.8922937654060469,4,2023-01-24,2024-01-24,553.11,6578.93,extended,145,0.11087061269841751,smartphone,2022-12-04,655.91,196,1.11205805674559,6,2,1,0,2,136,199,4.706670634377997e-05,2,0,0,0,0.5,0
