source,target,edge_type
CLM-000001,CUS-000144,FILED_BY
CLM-000001,DEV-001627,USES_DEVICE
CLM-000002,CUS-001851,FILED_BY
CLM-000002,DEV-002452,USES_DEVICE
CLM-000003,CUS-002133,FILED_BY
CLM-000003,DEV-002993,USES_DEVICE
CLM-000003,REP-000350,REPAIRED_BY
CLM-000004,CUS-001258,FILED_BY
CLM-000004,DEV-002023,USES_DEVICE
CLM-000005,CUS-000032,FILED_BY
CLM-000005,DEV-000992,USES_DEVICE
CLM-000006,CUS-002856,FILED_BY
CLM-000006,DEV-002096,USES_DEVICE
CLM-000006,REP-000626,REPAIRED_BY
CLM-000007,CUS-002615,FILED_BY
CLM-000007,DEV-002405,USES_DEVICE
CLM-000007,REP-000380,REPAIRED_BY
CLM-000008,CUS-001400,FILED_BY
CLM-000008,DEV-000089,USES_DEVICE
CLM-000009,CUS-001258,FILED_BY
CLM-000009,DEV-002023,USES_DEVICE
CLM-000010,CUS-001990,FILED_BY
CLM-000010,DEV-001373,USES_DEVICE
CLM-000011,CUS-000902,FILED_BY
CLM-000011,DEV-002096,USES_DEVICE
CLM-000012,CUS-000784,FILED_BY
CLM-000012,DEV-000126,USES_DEVICE
CLM-000013,CUS-001804,FILED_BY
CLM-000013,DEV-002019,USES_DEVICE
CLM-000013,REP-000595,REPAIRED_BY
CLM-000014,CUS-000387,FILED_BY
CLM-000014,DEV-000525,USES_DEVICE
CLM-000015,CUS-002522,FILED_BY
CLM-000015,DEV-001587,USES_DEVICE
CLM-000016,CUS-002976,FILED_BY
CLM-000016,DEV-001562,USES_DEVICE
CLM-000016,REP-000092,REPAIRED_BY
CLM-000017,CUS-002171,FILED_BY
CLM-000017,DEV-000168,USES_DEVICE
CLM-000018,CUS-000596,FILED_BY
CLM-000018,DEV-002679,USES_DEVICE
CLM-000018,REP-000615,REPAIRED_BY
CLM-000019,CUS-002911,FILED_BY
CLM-000019,DEV-002433,USES_DEVICE
CLM-000020,CUS-002760,FILED_BY
CLM-000020,DEV-001227,USES_DEVICE
