id,node_type,claim_amount,claim_type,claim_date
CLM-000001,claim,406.6,accidental_damage,2023-05-28
CLM-000002,claim,333.71,theft,2023-08-12
CLM-000003,claim,205.59,mechanical_failure,2023-08-22
CLM-000004,claim,677.55,water_damage,2023-09-18
CLM-000005,claim,458.48,water_damage,2024-07-29
CLM-000006,claim,295.18,water_damage,2023-10-01
CLM-000007,claim,247.52,water_damage,2024-01-29
CLM-000008,claim,225.04,screen_damage,2024-08-03
CLM-000009,claim,81.09,battery_issue,2023-11-08
CLM-000010,claim,729.41,water_damage,2023-06-18
CLM-000011,claim,431.76,battery_issue,2023-11-03
CLM-000012,claim,94.73,mechanical_failure,2024-03-04
CLM-000013,claim,79.47,mechanical_failure,2024-06-12
CLM-000014,claim,141.41,software_issue,2023-10-04
CLM-000015,claim,99.56,battery_issue,2024-01-29
CLM-000016,claim,742.87,screen_damage,2023-12-17
CLM-000017,claim,81.87,accidental_damage,2023-07-11
CLM-000018,claim,175.97,battery_issue,2023-06-04
CLM-000019,claim,147.15,theft,2023-02-27
CLM-000020,claim,259.21,accidental_damage,2024-06-22
CLM-000021,claim,257.21,water_damage,2024-04-01
CLM-000022,claim,207.06,theft,2024-06-25
CLM-000023,claim,101.25,water_damage,2024-09-19
CLM-000024,claim,164.96,software_issue,2023-11-04
CLM-000025,claim,146.35,software_issue,2023-09-24
CLM-000026,claim,179.9,accidental_damage,2024-01-07
CLM-000027,claim,406.71,battery_issue,2023-10-20
CLM-000028,claim,240.02,water_damage,2023-09-01
CLM-000029,claim,122.87,accidental_damage,2024-07-11
CLM-000030,claim,1344.37,theft,2023-07-04
CLM-000031,claim,408.19,software_issue,2023-04-03
CLM-000032,claim,84.43,battery_issue,2023-05-31
CLM-000033,claim,149.15,software_issue,2023-07-14
CLM-000034,claim,366.71,screen_damage,2023-04-24
CLM-000035,claim,1089.93,battery_issue,2023-03-07
CLM-000036,claim,182.16,battery_issue,2024-05-30
CLM-000037,claim,206.95,mechanical_failure,2023-08-01
CLM-000038,claim,85.26,battery_issue,2023-04-01
CLM-000039,claim,368.71,theft,2023-02-09
CLM-000040,claim,103.01,water_damage,2023-08-21
CLM-000041,claim,102.28,water_damage,2024-05-21
CLM-000042,claim,339.22,battery_issue,2024-06-22
CLM-000043,claim,318.16,battery_issue,2024-04-03
CLM-000044,claim,161.35,software_issue,2024-07-14
CLM-000045,claim,527.13,accidental_damage,2023-05-16
CLM-000046,claim,345.92,screen_damage,2023-07-04
CLM-000047,claim,173.51,water_damage,2024-02-08
CLM-000048,claim,176.4,water_damage,2023-08-02
CLM-000049,claim,277.34,mechanical_failure,2024-07-18
CLM-000050,claim,3149.78,accidental_damage,2024-04-17
CLM-000051,claim,91.78,mechanical_failure,2023-09-13
CLM-000052,claim,404.6,theft,2024-08-09
CLM-000053,claim,251.4,theft,2023-02-15
CLM-000054,claim,52.71,water_damage,2024-02-12
CLM-000055,claim,498.31,battery_issue,2024-07-05
CLM-000056,claim,323.9,mechanical_failure,2024-07-28
CLM-000057,claim,134.69,water_damage,2024-11-19
CLM-000058,claim,438.49,theft,2023-02-28
CLM-000059,claim,145.22,software_issue,2023-10-05
CLM-000060,claim,73.22,mechanical_failure,2024-04-04
CLM-000061,claim,54.8,screen_damage,2023-02-18
CLM-000062,claim,331.34,battery_issue,2023-10-10
CLM-000063,claim,223.78,mechanical_failure,2023-06-03
CLM-000064,claim,1974.95,software_issue,2023-02-09
CLM-000065,claim,115.9,theft,2023-03-11
CLM-000066,claim,257.0,theft,2024-11-15
CLM-000067,claim,338.3,battery_issue,2024-06-28
CLM-000068,claim,349.76,battery_issue,2023-04-06
CLM-000069,claim,674.75,screen_damage,2023-07-02
CLM-000070,claim,197.56,mechanical_failure,2023-01-14
CLM-000071,claim,90.5,theft,2023-05-07
CLM-000072,claim,99.2,software_issue,2023-12-04
CLM-000073,claim,240.56,screen_damage,2023-12-08
CLM-000074,claim,291.56,theft,2024-05-03
CLM-000075,claim,703.37,battery_issue,2023-11-04
CLM-000076,claim,163.96,accidental_damage,2024-03-02
CLM-000077,claim,84.96,water_damage,2024-11-22
CLM-000078,claim,246.09,software_issue,2024-03-05
CLM-000079,claim,200.0,accidental_damage,2023-10-30
CLM-000080,claim,380.14,theft,2024-08-24
CLM-000081,claim,432.09,water_damage,2024-07-24
CLM-000082,claim,407.77,theft,2024-04-16
CLM-000083,claim,108.33,water_damage,2024-02-25
CLM-000084,claim,503.97,theft,2023-03-26
CLM-000085,claim,197.76,theft,2023-03-14
CLM-000086,claim,306.91,accidental_damage,2023-08-02
CLM-000087,claim,269.36,accidental_damage,2024-02-16
CLM-000088,claim,401.98,water_damage,2024-01-06
CLM-000089,claim,96.84,mechanical_failure,2023-11-20
CLM-000090,claim,102.62,water_damage,2024-01-31
CLM-000091,claim,940.37,screen_damage,2024-01-15
CLM-000092,claim,477.57,mechanical_failure,2023-11-06
CLM-000093,claim,387.85,screen_damage,2024-09-04
CLM-000094,claim,210.78,screen_damage,2024-11-03
CLM-000095,claim,95.45,theft,2024-09-28
CLM-000096,claim,179.66,mechanical_failure,2024-06-01
CLM-000097,claim,318.95,water_damage,2024-05-12
CLM-000098,claim,372.9,theft,2024-08-10
CLM-000099,claim,1426.89,theft,2024-03-17
CLM-000100,claim,693.29,software_issue,2023-12-13
CLM-000101,claim,436.21,battery_issue,2024-04-01
CLM-000102,claim,157.9,theft,2023-02-07
CLM-000103,claim,183.84,accidental_damage,2023-10-27
CLM-000104,claim,102.88,mechanical_failure,2024-01-19
CLM-000105,claim,144.33,battery_issue,2023-02-26
CLM-000106,claim,124.88,theft,2024-04-24
CLM-000107,claim,852.03,water_damage,2023-11-22
CLM-000108,claim,122.97,software_issue,2024-04-08
CLM-000109,claim,161.81,mechanical_failure,2024-08-23
CLM-000110,claim,254.1,mechanical_failure,2023-09-19
CLM-000111,claim,251.33,screen_damage,2024-02-03
CLM-000112,claim,137.64,mechanical_failure,2024-05-20
CLM-000113,claim,267.31,software_issue,2024-09-11
CLM-000114,claim,195.09,battery_issue,2024-09-30
CLM-000115,claim,154.54,screen_damage,2023-06-26
CLM-000116,claim,270.84,water_damage,2024-03-08
CLM-000117,claim,469.22,software_issue,2023-10-14
CLM-000118,claim,379.87,theft,2024-03-20
CLM-000119,claim,403.3,theft,2024-10-21
CLM-000120,claim,154.15,screen_damage,2023-02-26
CLM-000121,claim,137.86,theft,2023-05-12
CLM-000122,claim,757.33,screen_damage,2024-10-16
CLM-000123,claim,540.74,screen_damage,2024-11-04
CLM-000124,claim,181.79,water_damage,2023-03-23
CLM-000125,claim,380.52,theft,2023-07-19
CLM-000126,claim,301.74,theft,2024-05-07
CLM-000127,claim,201.37,accidental_damage,2023-02-22
CLM-000128,claim,255.62,software_issue,2024-05-30
CLM-000129,claim,271.72,theft,2023-10-23
CLM-000130,claim,230.74,theft,2024-04-16
CLM-000131,claim,342.94,water_damage,2024-07-12
CLM-000132,claim,326.61,theft,2023-07-18
CLM-000133,claim,266.61,accidental_damage,2024-05-02
CLM-000134,claim,60.95,screen_damage,2024-03-03
CLM-000135,claim,370.2,screen_damage,2024-07-15
CLM-000136,claim,530.2,mechanical_failure,2023-10-25
CLM-000137,claim,153.48,screen_damage,2024-08-27
CLM-000138,claim,93.81,screen_damage,2023-08-04
CLM-000139,claim,195.65,accidental_damage,2024-02-05
CLM-000140,claim,317.83,accidental_damage,2023-05-15
CLM-000141,claim,1339.62,mechanical_failure,2023-10-26
CLM-000142,claim,71.0,battery_issue,2024-09-18
CLM-000143,claim,174.72,screen_damage,2023-01-03
CLM-000144,claim,696.29,battery_issue,2023-06-11
CLM-000145,claim,630.56,theft,2024-11-08
CLM-000146,claim,298.82,mechanical_failure,2023-08-10
CLM-000147,claim,249.68,accidental_damage,2023-09-08
CLM-000148,claim,154.63,accidental_damage,2023-08-11
CLM-000149,claim,457.29,software_issue,2024-05-06
CLM-000150,claim,203.73,software_issue,2024-07-01
CLM-000151,claim,569.22,theft,2023-01-21
CLM-000152,claim,379.87,battery_issue,2023-05-31
CLM-000153,claim,529.04,accidental_damage,2023-07-15
CLM-000154,claim,29.93,software_issue,2023-10-13
CLM-000155,claim,112.9,battery_issue,2024-11-07
CLM-000156,claim,193.97,mechanical_failure,2024-01-18
CLM-000157,claim,253.59,theft,2023-06-01
CLM-000158,claim,368.4,accidental_damage,2023-07-10
CLM-000159,claim,250.13,battery_issue,2023-06-23
CLM-000160,claim,139.58,software_issue,2023-10-19
CLM-000161,claim,92.92,software_issue,2024-05-06
CLM-000162,claim,902.51,mechanical_failure,2024-04-21
CLM-000163,claim,162.19,mechanical_failure,2023-12-02
CLM-000164,claim,114.29,screen_damage,2024-05-06
CLM-000165,claim,201.16,screen_damage,2024-01-30
CLM-000166,claim,500.12,battery_issue,2024-11-15
CLM-000167,claim,119.31,screen_damage,2024-03-11
CLM-000168,claim,287.63,software_issue,2023-08-24
CLM-000169,claim,160.49,battery_issue,2024-09-10
CLM-000170,claim,28.46,battery_issue,2024-01-09
CLM-000171,claim,100.47,theft,2024-08-17
CLM-000172,claim,63.98,accidental_damage,2024-01-04
CLM-000173,claim,172.1,screen_damage,2023-07-14
CLM-000174,claim,116.96,software_issue,2023-01-25
CLM-000175,claim,313.98,software_issue,2023-12-24
CLM-000176,claim,196.61,software_issue,2024-10-01
CLM-000177,claim,202.42,mechanical_failure,2023-08-29
CLM-000178,claim,73.18,water_damage,2024-09-20
CLM-000179,claim,574.03,screen_damage,2023-04-29
CLM-000180,claim,286.01,software_issue,2023-07-19
CLM-000181,claim,198.66,screen_damage,2024-06-05
CLM-000182,claim,345.73,water_damage,2024-01-09
