claim_id,node_degree,community_id,community_size,pagerank_score,n_shared_devices,n_shared_addresses,n_shared_shops,n_shared_payments
CLM-000001,2,19,261,4.36592536877524e-05,5,0,0,0
CLM-000002,2,1,187,4.0645237100281535e-05,8,0,0,0
CLM-000003,3,21,196,5.4942942143134494e-05,4,0,4,0
CLM-000004,2,3,130,4.314261759866935e-05,5,0,0,0
CLM-000005,2,4,171,4.916669577341324e-05,2,0,0,0
CLM-000006,3,5,184,5.999909837588966e-05,5,0,4,0
CLM-000007,3,6,344,5.4824812108218715e-05,8,0,11,0
CLM-000008,2,7,228,5.634459311060195e-05,0,0,0,0
CLM-000009,2,3,130,4.314261759866935e-05,5,0,0,0
CLM-000010,2,136,199,4.706670634377997e-05,2,0,0,0
CLM-000011,2,97,185,4.2318999676552506e-05,5,0,0,0
CLM-000012,2,123,185,4.866752288392389e-05,1,0,0,0
CLM-000013,3,11,82,5.9086920473446104e-05,3,0,7,0
CLM-000014,2,12,118,5.497597538896536e-05,1,0,0,0
CLM-000015,2,139,96,4.808650100466099e-05,1,0,0,0
CLM-000016,3,14,186,6.0127059946755576e-05,3,0,7,0
CLM-000017,2,81,211,5.35919930694067e-05,0,0,0,0
CLM-000018,3,16,208,6.019267318038323e-05,1,0,8,0
CLM-000019,2,17,185,4.526126035881179e-05,3,0,0,0
CLM-000020,2,96,149,4.2696946027727454e-05,4,0,0,0
CLM-000021,3,19,261,5.673607991187986e-05,3,0,7,0
CLM-000022,3,21,196,5.9002460175729575e-05,3,0,4,0
CLM-000023,3,20,224,6.39869187927415e-05,2,0,1,0
CLM-000024,3,103,178,5.4379195517918095e-05,12,0,3,0
CLM-000025,2,22,165,4.4670558609587336e-05,6,0,0,0
CLM-000026,3,23,168,6.040181812024624e-05,4,0,3,0
CLM-000027,3,24,168,5.9138300691489986e-05,3,0,7,0
CLM-000028,2,6,344,4.0630060552950155e-05,8,0,0,0
CLM-000029,2,25,266,5.3325755472163535e-05,0,0,0,0
CLM-000030,3,6,344,5.591606071508138e-05,6,0,3,0
CLM-000031,3,39,253,7.068485062799967e-05,1,0,7,0
CLM-000032,3,28,254,5.8192061753049195e-05,5,0,4,0
CLM-000033,3,14,186,6.304249279502806e-05,3,0,3,0
CLM-000034,3,65,160,5.831719299147964e-05,5,0,6,0
CLM-000035,2,71,210,4.754621113095172e-05,3,0,0,0
CLM-000036,2,31,151,4.56797983984876e-05,2,0,0,0
CLM-000037,2,123,185,4.27614561006515e-05,7,0,0,0
CLM-000038,3,122,299,5.72588841909762e-05,3,0,9,0
CLM-000039,3,33,252,6.659941607534924e-05,0,0,7,0
CLM-000040,2,43,117,4.2618186362046174e-05,5,0,0,0
