consistency_score,reasoning,confidence,claim_id,is_actual_mismatch,accuracy
0.9035,Description type 'screen_damage' matches image damage type,0.8,CLM-007058,False,0.986
0.737,Description type 'battery_issue' matches image damage type,0.8,CLM-005725,False,0.986
0.8791,Description type 'accidental_damage' matches image damage type,0.8,CLM-002888,False,0.986
0.7899,Description type 'battery_issue' matches image damage type,0.8,CLM-003847,False,0.986
0.1551,MISMATCH: Description says 'screen_damage' but image shows 'mechanical_failure',0.75,CLM-001173,True,0.986
0.2337,MISMATCH: Description says 'battery_issue' but image shows 'accidental_damage',0.75,CLM-001935,True,0.986
0.8543,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005147,False,0.986
0.8657,Description type 'water_damage' matches image damage type,0.8,CLM-003768,False,0.986
0.9405,Description type 'mechanical_failure' matches image damage type,0.8,CLM-006025,False,0.986
0.4625,Partial match: 'screen_damage' somewhat related to 'accidental_damage',0.6,CLM-006812,True,0.986
0.9065,Description type 'battery_issue' matches image damage type,0.8,CLM-006691,False,0.986
0.8467,Description type 'water_damage' matches image damage type,0.8,CLM-002111,False,0.986
0.2371,MISMATCH: Description says 'accidental_damage' but image shows 'battery_issue',0.75,CLM-006330,True,0.986
0.2281,MISMATCH: Description says 'battery_issue' but image shows 'mechanical_failure',0.75,CLM-002416,True,0.986
0.9479,Description type 'accidental_damage' matches image damage type,0.8,CLM-002828,False,0.986
0.21,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-004815,True,0.986
0.7951,Description type 'accidental_damage' matches image damage type,0.8,CLM-007035,False,0.986
0.8468,Description type 'software_issue' matches image damage type,0.8,CLM-003434,False,0.986
0.2242,MISMATCH: Description says 'water_damage' but image shows 'battery_issue',0.75,CLM-006787,True,0.986
0.7466,Description type 'screen_damage' matches image damage type,0.8,CLM-005689,False,0.986
0.8026,Description type 'theft' matches image damage type,0.8,CLM-000246,False,0.986
0.2356,MISMATCH: Description says 'software_issue' but image shows 'theft',0.75,CLM-005785,True,0.986
0.4599,Partial match: 'mechanical_failure' somewhat related to 'battery_issue',0.6,CLM-004377,True,0.986
0.7358,Description type 'screen_damage' matches image damage type,0.8,CLM-004636,False,0.986
0.251,MISMATCH: Description says 'screen_damage' but image shows 'mechanical_failure',0.75,CLM-006735,True,0.986
0.9204,Description type 'screen_damage' matches image damage type,0.8,CLM-004861,False,0.986
0.7292,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003129,False,0.986
0.2257,MISMATCH: Description says 'battery_issue' but image shows 'screen_damage',0.75,CLM-004333,True,0.986
0.8198,Description type 'battery_issue' matches image damage type,0.8,CLM-001883,False,0.986
0.9337,Description type 'accidental_damage' matches image damage type,0.8,CLM-006553,False,0.986
0.8953,Description type 'screen_damage' matches image damage type,0.8,CLM-006992,False,0.986
0.1934,MISMATCH: Description says 'water_damage' but image shows 'battery_issue',0.75,CLM-001380,True,0.986
0.8056,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005639,False,0.986
0.7182,Description type 'software_issue' matches image damage type,0.8,CLM-001979,False,0.986
0.9293,Description type 'theft' matches image damage type,0.8,CLM-001919,False,0.986
0.8645,Description type 'theft' matches image damage type,0.8,CLM-001840,False,0.986
0.3159,MISMATCH: Description says 'water_damage' but image shows 'screen_damage',0.75,CLM-006663,True,0.986
0.7269,Description type 'theft' matches image damage type,0.8,CLM-001555,False,0.986
0.8899,Description type 'water_damage' matches image damage type,0.8,CLM-000218,False,0.986
0.938,Description type 'software_issue' matches image damage type,0.8,CLM-001872,False,0.986
