risk_level,risk_score,recommendation,ml_probability,anomaly_score,graph_risk_indicator,multimodal_inconsistency,top_risk_factors,shap_values,claim_id
LOW,0.0,APPROVE,0.0,0.4205,False,False,"['claim_amount: ↓ legitimate (0.606)', 'n_shared_shops: ↓ legitimate (0.395)', 'premium_amount: ↑ fraud (0.194)', 'pagerank_score: ↓ legitimate (0.190)', 'amount_vs_device_price: ↓ legitimate (0.180)']","{'claim_amount': -0.6064, 'n_shared_shops': -0.3951, 'premium_amount': 0.194, 'pagerank_score': -0.1897, 'amount_vs_device_price': -0.1799}",CLM-000001
LOW,0.0,APPROVE,0.0,0.4295,False,False,"['claim_amount: ↓ legitimate (0.554)', 'n_shared_shops: ↓ legitimate (0.314)', 'claim_frequency: ↓ legitimate (0.259)', 'pagerank_score: ↓ legitimate (0.214)', 'community_size: ↑ fraud (0.197)']","{'claim_amount': -0.5536, 'n_shared_shops': -0.3142, 'claim_frequency': -0.2585, 'pagerank_score': -0.2135, 'community_size': 0.1971}",CLM-000002
LOW,0.0001,APPROVE,0.0001,0.4068,False,False,"['claim_amount: ↓ legitimate (0.714)', 'amount_vs_device_price: ↑ fraud (0.594)', 'claim_frequency: ↓ legitimate (0.409)', 'device_age_days: ↓ legitimate (0.276)', 'premium_amount: ↑ fraud (0.267)']","{'claim_amount': -0.7139, 'amount_vs_device_price': 0.5944, 'claim_frequency': -0.4087, 'device_age_days': -0.2758, 'premium_amount': 0.2668}",CLM-000003
LOW,0.0004,APPROVE,0.0004,0.4448,False,False,"['amount_vs_avg: ↑ fraud (1.151)', 'n_shared_shops: ↓ legitimate (0.441)', 'amount_vs_device_price: ↓ legitimate (0.328)', 'pagerank_score: ↓ legitimate (0.325)', 'days_since_policy_start: ↑ fraud (0.323)']","{'amount_vs_avg': 1.1507, 'n_shared_shops': -0.4411, 'amount_vs_device_price': -0.3278, 'pagerank_score': -0.3249, 'days_since_policy_start': 0.3225}",CLM-000004
LOW,0.0,APPROVE,0.0,0.4801,False,False,"['amount_vs_avg: ↑ fraud (0.656)', 'claim_amount: ↓ legitimate (0.506)', 'n_shared_shops: ↓ legitimate (0.441)', 'device_age_days: ↓ legitimate (0.312)', 'coverage_utilization: ↓ legitimate (0.225)']","{'amount_vs_avg': 0.656, 'claim_amount': -0.5064, 'n_shared_shops': -0.4414, 'device_age_days': -0.3116, 'coverage_utilization': -0.2246}",CLM-000005
LOW,0.0001,APPROVE,0.0001,0.3923,False,False,"['claim_amount: ↓ legitimate (0.670)', 'device_age_days: ↑ fraud (0.319)', 'premium_amount: ↓ legitimate (0.200)', 'amount_vs_avg: ↑ fraud (0.162)', 'coverage_utilization: ↑ fraud (0.151)']","{'claim_amount': -0.6702, 'device_age_days': 0.3187, 'premium_amount': -0.2002, 'amount_vs_avg': 0.1621, 'coverage_utilization': 0.1512}",CLM-000006
LOW,0.0,APPROVE,0.0,0.487,False,False,"['claim_amount: ↓ legitimate (0.599)', 'days_since_policy_start: ↑ fraud (0.306)', 'community_size: ↓ legitimate (0.301)', 'device_age_days: ↑ fraud (0.227)', 'amount_vs_device_price: ↓ legitimate (0.162)']","{'claim_amount': -0.5994, 'days_since_policy_start': 0.3057, 'community_size': -0.3006, 'device_age_days': 0.2267, 'amount_vs_device_price': -0.1623}",CLM-000007
LOW,0.0,APPROVE,0.0,0.4508,False,False,"['claim_amount: ↓ legitimate (0.593)', 'n_shared_shops: ↓ legitimate (0.302)', 'community_size: ↓ legitimate (0.184)', 'amount_vs_device_price: ↓ legitimate (0.164)', 'device_age_days: ↑ fraud (0.159)']","{'claim_amount': -0.5926, 'n_shared_shops': -0.3021, 'community_size': -0.1844, 'amount_vs_device_price': -0.1637, 'device_age_days': 0.159}",CLM-000008
LOW,0.0,APPROVE,0.0,0.4189,False,False,"['claim_amount: ↓ legitimate (0.604)', 'n_shared_shops: ↓ legitimate (0.372)', 'days_since_policy_start: ↑ fraud (0.299)', 'premium_amount: ↑ fraud (0.221)', 'amount_vs_device_price: ↓ legitimate (0.218)']","{'claim_amount': -0.6038, 'n_shared_shops': -0.3718, 'days_since_policy_start': 0.2988, 'premium_amount': 0.2211, 'amount_vs_device_price': -0.2182}",CLM-000009
LOW,0.0001,APPROVE,0.0001,0.4421,False,False,"['pagerank_score: ↓ legitimate (0.368)', 'n_shared_shops: ↓ legitimate (0.347)', 'amount_vs_device_price: ↑ fraud (0.339)', 'community_size: ↑ fraud (0.151)', 'claim_frequency: ↓ legitimate (0.134)']","{'pagerank_score': -0.3684, 'n_shared_shops': -0.3467, 'amount_vs_device_price': 0.3387, 'community_size': 0.1511, 'claim_frequency': -0.1341}",CLM-000010
LOW,0.0,APPROVE,0.0,0.4411,False,False,"['claim_amount: ↓ legitimate (0.563)', 'n_shared_shops: ↓ legitimate (0.438)', 'claim_frequency: ↓ legitimate (0.229)', 'policy_type_encoded: ↓ legitimate (0.184)', 'pagerank_score: ↓ legitimate (0.164)']","{'claim_amount': -0.5625, 'n_shared_shops': -0.4381, 'claim_frequency': -0.2294, 'policy_type_encoded': -0.1837, 'pagerank_score': -0.1643}",CLM-000011
LOW,0.0,APPROVE,0.0,0.4162,False,False,"['claim_amount: ↓ legitimate (0.590)', 'n_shared_shops: ↓ legitimate (0.308)', 'days_since_policy_start: ↓ legitimate (0.173)', 'amount_vs_device_price: ↓ legitimate (0.163)', 'policy_type_encoded: ↓ legitimate (0.116)']","{'claim_amount': -0.5899, 'n_shared_shops': -0.3076, 'days_since_policy_start': -0.1734, 'amount_vs_device_price': -0.1628, 'policy_type_encoded': -0.1164}",CLM-000012
LOW,0.0001,APPROVE,0.0001,0.3958,False,False,"['claim_amount: ↓ legitimate (0.925)', 'claim_frequency: ↑ fraud (0.548)', 'premium_amount: ↑ fraud (0.281)', 'pagerank_score: ↑ fraud (0.279)', 'amount_vs_device_price: ↓ legitimate (0.231)']","{'claim_amount': -0.9253, 'claim_frequency': 0.5482, 'premium_amount': 0.2813, 'pagerank_score': 0.2789, 'amount_vs_device_price': -0.2307}",CLM-000013
LOW,0.0,APPROVE,0.0,0.4182,False,False,"['claim_amount: ↓ legitimate (0.596)', 'n_shared_shops: ↓ legitimate (0.361)', 'device_age_days: ↓ legitimate (0.263)', 'premium_amount: ↑ fraud (0.251)', 'amount_vs_device_price: ↓ legitimate (0.215)']","{'claim_amount': -0.5955, 'n_shared_shops': -0.3609, 'device_age_days': -0.2631, 'premium_amount': 0.2505, 'amount_vs_device_price': -0.2154}",CLM-000014
LOW,0.0,APPROVE,0.0,0.4345,False,False,"['claim_amount: ↓ legitimate (0.595)', 'n_shared_shops: ↓ legitimate (0.309)', 'device_age_days: ↑ fraud (0.243)', 'amount_vs_device_price: ↓ legitimate (0.231)', 'premium_amount: ↑ fraud (0.222)']","{'claim_amount': -0.5951, 'n_shared_shops': -0.3086, 'device_age_days': 0.2426, 'amount_vs_device_price': -0.2313, 'premium_amount': 0.2222}",CLM-000015
